TIME,year,month,T,R_HF_index1,R_HF_index2,R_HF_index3,R_HF_index4,R_HF_index5,R_HF_index6,R_HF_index7,R_HF_index8,R_HF_index9,R_HF_index10,R_HF_index11,R_HF_index12,R_HF_index13,R_HF_index14,R_HF_index15,R_HF_index16,R_HF_index17,R_HF_index18,R_HF_index19,R_HF_index20,R_HF_index21,R_HF_index22,R_HF_index23,R_HF_index24,R_HF_index25,R_HF_index26,R_HF_index27,R_HF_index28,R_HF_index29,R_HF_index30,R_HF_index31,R_HF_index32,R_HF_index33,R_HF_index34,R_HF_index35,R_HF_index36,R_HF_index37,R_HF_index38,R_HF_index39,R_HF_index40,R_HF_index41,R_HF_index42,R_HF_index43,R_HF_index44,R_HF_index45,R_HF_index46,R_HF_index47,R_HF_index48,R_HF_index49,R_HF_index50,R_HF_index51,R_HF_index52,R_HF_index53,R_HF_index54,R_HF_index55,eR_HF_index1,eR_HF_index2,eR_HF_index3,eR_HF_index4,eR_HF_index5,eR_HF_index6,eR_HF_index7,eR_HF_index8,eR_HF_index9,eR_HF_index10,eR_HF_index11,eR_HF_index12,eR_HF_index13,eR_HF_index14,eR_HF_index15,eR_HF_index16,eR_HF_index17,eR_HF_index18,eR_HF_index19,eR_HF_index20,eR_HF_index21,eR_HF_index22,eR_HF_index23,eR_HF_index24,eR_HF_index25,eR_HF_index26,eR_HF_index27,eR_HF_index28,eR_HF_index29,eR_HF_index30,eR_HF_index31,eR_HF_index32,eR_HF_index33,eR_HF_index34,eR_HF_index35,eR_HF_index36,eR_HF_index37,eR_HF_index38,eR_HF_index39,eR_HF_index40,eR_HF_index41,eR_HF_index42,eR_HF_index43,eR_HF_index44,eR_HF_index45,eR_HF_index46,eR_HF_index47,eR_HF_index48,eR_HF_index49,eR_HF_index50,eR_HF_index51,eR_HF_index52,eR_HF_index53,eR_HF_index54,eR_HF_index55
1991m11,1991,11,1991,,,,,.0038924,.0137056,,,.0116321,,,,-.0234734,,-.0562529,.0846168,.0187236,.0386436,,,,-.0226547,,,-.0108587,.0051865,.0054849,-.0032051,.0047119,.0108015,.0004999,.0026964,.0050015,,.0066101,.0037161,,.007472,,,,,,-.0140989,,.0065783,,.0164637,.0023971,,.0012992,,,,,,,,,0,.0098132,,,.0077397,,,,-.0273658,,-.0601454,.0807244,.0148312,.0347512,,,,-.0265471,,,-.0147512,.0012941,.0015925,-.0070975,.0008195,.006909,-.0033925,-.0011961,.0011091,,.0027177,-.0001763,,.0035796,,,,,,-.0179913,,.0026859,,.0125713,-.0014953,,-.0025933,,,,
1991m12,1991,12,1991,,,,,.0082657,.0119286,,,.0204887,,,,.0800119,,.047742,-.0744003,.1157365,.0343048,,,,.2512255,,,.0489806,.0167588,.031111,.043251,.0325291,.053446,.0440169,.0387398,.0399416,,.0411487,.03861,,.0717624,,,,,,.053446,,-.0119714,,.0161686,.0100493,,.0164637,,,,,,,,,.0044729,.0081358,,,.0166959,,,,.0762191,,.0439492,-.0781931,.1119437,.030512,,,,.2474327,,,.0451878,.012966,.0273182,.0394582,.0287363,.0496532,.0402241,.034947,.0361488,,.0373559,.0348172,,.0679696,,,,,,.0496532,,-.0157642,,.0123758,.0062565,,.0126709,,,,
1992m1,1992,1,1992,,,,,.0682192,.0194104,,,.0035935,,,,.0529719,,.1216865,-.0281937,.0775164,.0455468,,.0538251,,.1402836,,,.024595,.0412379,.0009995,.0180364,.0085137,.0193447,.0131136,.0376811,.04282,,.0454111,.0391938,,.0276152,,,,,,.009257,,.0556239,,.0209784,.0314987,,.0289761,,,,,,,,,.064825,.0160162,,,.0001993,,,,.0495777,,.1182923,-.031588,.0741222,.0421526,,.0504309,,.1368893,,,.0212008,.0378437,-.0023947,.0146421,.0051194,.0159504,.0097194,.0342868,.0394258,,.0420169,.0357996,,.0242209,,,,,,.0058628,,.0522297,,.0175842,.0281044,,.0255819,,,,
1992m2,1992,2,1992,,,,,.0530667,.0095542,,,.0095542,,,,.0227395,,.0376811,-.0259334,.0320799,.0322736,,.0264472,,.0359461,,,.0285875,.0210763,.0123238,.0081666,.0028759,.0213837,.0115332,.0211742,.0246272,,.0265231,.0228656,,.0033942,,,,,,-.0012007,,.0256677,,.0093561,.0241071,,.0186255,,,,,,,,,.0502706,.0067581,,,.0067581,,,,.0199434,,.034885,-.0287295,.0292838,.0294775,,.0236511,,.03315,,,.0257914,.0182802,.0095277,.0053705,.0000798,.0185876,.0087371,.0183781,.0218312,,.023727,.0200695,,.0005981,,,,,,-.0039968,,.0228717,,.00656,.021311,,.0158294,,,,
1992m3,1992,3,1992,,,,,.022935,.013311,,,.0057832,,,,-.020713,,-.0570996,.059683,.0273233,.0104453,,.0233258,,.0549616,,,-.0028039,.0157749,.003992,.0028958,.0071673,.0195644,.0079682,.0058827,.0092154,,.0126674,.0073728,,.0031949,,,,,,-.0035061,,-.0079314,,.0098513,.0382587,,.0161686,,,,,,,,,.0195407,.0099168,,,.002389,,,,-.0241073,,-.0604938,.0562888,.0239291,.007051,,.0199316,,.0515673,,,-.0061982,.0123807,.0005978,-.0004984,.003773,.0161701,.0045739,.0024884,.0058212,,.0092732,.0039785,,-.0001993,,,,,,-.0069004,,-.0113256,,.0064571,.0348645,,.0127743,,,,
1992m4,1992,4,1992,,,,,.0031949,.001399,,,-.0003,,,,-.023371,,-.0191828,.0736221,.0138043,.0121262,,.0093561,,.0200967,,,.0026964,.0032946,.004888,-.0064206,.0085801,.0141869,.0011993,.0029955,.0070809,,.0085226,.0036424,,.0111377,,,,,,-.0063199,,.0209784,,.0079682,-.0096464,,.0081666,,,,,,,,,0,-.0017959,,,-.0034949,,,,-.0265659,,-.0223777,.0704272,.0106094,.0089313,,.0061612,,.0169018,,,-.0004985,.0000997,.0016931,-.0096155,.0053852,.010992,-.0019956,-.0001994,.003886,,.0053277,.0004475,,.0079429,,,,,,-.0095148,,.0177835,,.0047733,-.0128413,,.0049717,,,,
1992m5,1992,5,1992,,,,,.0112366,0,,,.0010994,,,,.0118298,,.0091579,.0184291,.0404699,.0684994,,.0091579,,.013311,,,.0084641,.0100493,-.0017014,.0101483,-.0139113,-.0058018,.0027961,.0182328,.0215971,,.0233874,.0182495,,.0675652,,,,,,.0177417,,.0193123,,.0168571,.0377774,,.0193123,,,,,,,,,.0084405,-.0027961,,,-.0016967,,,,.0090337,,.0063619,.015633,.0376738,.0657033,,.0063619,,.0105149,,,.005668,.0072532,-.0044975,.0073522,-.0167074,-.0085979,0,.0154367,.018801,,.0205913,.0154534,,.0647691,,,,,,.0149456,,.0165162,,.014061,.0349813,,.0165162,,,,
1992m6,1992,6,1992,,,,,-.0001,.0029955,,,.0061809,,,,-.0294288,,-.0242927,.0751075,-.0381173,-.0042088,,.0135084,,-.1436394,,,-.0092426,.0010994,.0047885,-.0021022,-.0011507,.0150856,.0043903,-.0041084,.0006378,,.0008446,-.0033998,,.0086624,,,,,,-.004912,,.0243023,,.0070749,-.0066219,,.0070749,,,,,,,,,-.0032949,-.0001994,,,.002986,,,,-.0326237,,-.0274876,.0719126,-.0413122,-.0074037,,.0103135,,-.1468343,,,-.0124375,-.0020955,.0015936,-.0052971,-.0043456,.0118907,.0011955,-.0073033,-.0025571,,-.0023502,-.0065947,,.0054675,,,,,,-.0081069,,.0211074,,.00388,-.0098168,,.00388,,,,
1992m7,1992,7,1992,,,,,.0026964,.0143959,,,.0123238,,,,.0360426,,.0165621,-.007226,-.0047111,-.0330399,,-.0103534,,.0472652,,,.027226,.0121262,.0031949,.0121262,.0158586,-.0054277,.0081666,.0205866,.0241442,,.0253334,.0216225,,.0169554,,,,,,.0176434,,.0202927,,.018331,.0099503,,.0116321,,,,,,,,,-.0003988,.0113007,,,.0092285,,,,.0329474,,.0134669,-.0103213,-.0078063,-.0361351,,-.0134486,,.04417,,,.0241308,.009031,.0000997,.009031,.0127634,-.0085229,.0050714,.0174914,.021049,,.0222382,.0185273,,.0138602,,,,,,.0145482,,.0171975,,.0152358,.0068551,,.0085369,,,,
1992m8,1992,8,1992,,,,,.0088606,.0011993,,,-.0035061,,,,-.0166376,,.0011993,.028879,-.0203048,-.0349021,,-.0299439,,.0102473,,,-.0085363,.0023971,.0025966,.0031949,.0133377,.0027682,.004689,-.0027037,.0018363,,.0036623,-.0019339,,-.0106566,,,,,,-.0190809,,.0060815,,.0163654,.0097523,,.0102473,,,,,,,,,.006264,-.0013973,,,-.0061028,,,,-.0192343,,-.0013973,.0262823,-.0229014,-.0374987,,-.0325405,,.0076507,,,-.011133,-.0001995,0,.0005983,.010741,.0001715,.0020924,-.0053003,-.0007603,,.0010657,-.0045305,,-.0132532,,,,,,-.0216775,,.0034848,,.0137687,.0071557,,.0076507,,,,
